method,pattern,space,score,target,issue
org.apache.pdfbox.pdfwriter.COSWriter.write(PDDocument),,org.apache.pdfbox.pdfwriter.COSWriter.write(PDDocument),0.10577710191465108,org.apache.pdfbox.pdfwriter.COSWriter.write(PDDocument),PDFBOX-1973
org.apache.pdfbox.encoding.Encoding.loadGlyphList(String),HotCallee,org.apache.pdfbox.encoding.Encoding.loadGlyphList(String),0.10470523226524706,,
org.apache.pdfbox.ConvertColorspace.main(String[]),,org.apache.pdfbox.ConvertColorspace.main(String[]),0.1043556862530886,,
"org.apache.pdfbox.pdfviewer.PageDrawer.drawPage(Graphics, PDPage, Dimension)",HotCallee,"org.apache.pdfbox.pdfviewer.PageDrawer.drawPage(Graphics, PDPage, Dimension), org.apache.pdfbox.util.PDFStreamEngine.processStream(PDPage, PDResources, COSStream)",0.10423074148492453,"org.apache.pdfbox.util.PDFStreamEngine.processStream(PDPage, PDResources, COSStream)",PDFBOX-2126
"org.apache.pdfbox.pdmodel.font.PDType1CFont.hexString(int, int)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDType1CFont.hexString(int, int), org.apache.pdfbox.pdmodel.font.PDType1CFont.load()",0.1040526750702401,,
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int)",,"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int)",0.10403192601042391,"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int), org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int)","PDFBOX-1915, PDFBOX-1893"
"org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRefInc(COSDocument, long)",,"org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRefInc(COSDocument, long)",0.10371470946086572,"org.apache.pdfbox.pdfwriter.COSWriter.doWriteXRefInc(COSDocument, long)",PDFBOX-1973
org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]),,org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]),0.10331324816430476,"org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]), org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[]), org.apache.pdfbox.examples.pdmodel.RubberStampWithImage.doIt(String[])","PDFBOX-2893, PDFBOX-1973, PDFBOX-1893"
org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(),HotCallee,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(), org.apache.pdfbox.io.PushBackInputStream.peek(), org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(), org.apache.pdfbox.io.PushBackInputStream.read()",0.101122236993946,,
org.apache.pdfbox.pdfwriter.COSWriter.visitFromDictionary(COSDictionary),,org.apache.pdfbox.pdfwriter.COSWriter.visitFromDictionary(COSDictionary),0.1004495258894621,org.apache.pdfbox.pdfwriter.COSWriter.visitFromDictionary(COSDictionary),PDFBOX-1973
org.apache.pdfbox.cos.COSString.writePDF(OutputStream),,org.apache.pdfbox.cos.COSString.writePDF(OutputStream),0.10035260191678384,,
org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.getRGBImage(),HotCallee,"org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.getRGBImage(), org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.applyMasks(BufferedImage)",0.10007856392210249,,
org.apache.pdfbox.io.ASCII85InputStream.read(),FreqExec,"org.apache.pdfbox.io.ASCII85InputStream.read(), org.apache.pdfbox.io.ASCII85InputStream.read(byte[], int, int)",0.09994708503934542,,
