method1,method2,method_score1,method_score2
"org.apache.pdfbox.pdmodel.common.function.PDFunction.clipToRange(float, float, float)",org.apache.pdfbox.pdmodel.common.function.PDFunction.clipToRange(float[]),3.73444656111125e-08,1.991359236651047e-07
org.apache.pdfbox.pdmodel.PDPage.hashCode(),org.apache.pdfbox.pdmodel.PDPage.hashCode(),1.5691215044880736e-11,8.122141425503079e-29
org.apache.pdfbox.pdmodel.PDPage.equals(Object),org.apache.pdfbox.pdmodel.PDPage.equals(Object),3.025292372283648e-11,4.716189103044376e-13
org.apache.pdfbox.util.Matrix.clone(),org.apache.pdfbox.util.Matrix.clone(),3.6037634567625708e-06,2.9041668152331315e-06
org.apache.pdfbox.cos.COSStream.accept(ICOSVisitor),org.apache.pdfbox.cos.COSStream.accept(ICOSVisitor),3.533031555331723e-08,2.6243885961256174e-07
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.findDestinationPage(PDDocument),org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.findDestinationPage(PDDocument),9.669033670421817e-08,1.216657411207253e-07
"org.apache.pdfbox.examples.pdmodel.AddImageToPDF.createPDFFromImage(String, String, String)","org.apache.pdfbox.examples.pdmodel.AddImageToPDF.createPDFFromImage(String, String, String)",1.0226211388280528e-09,6.702556174669337e-11
"org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage.doIt(String, String, String)","org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage.doIt(String, String, String)",2.3614954927410604e-09,1.8028143420571194e-10
org.apache.pdfbox.examples.pdmodel.CreateBlankPDF.main(String[]),org.apache.pdfbox.examples.pdmodel.CreateBlankPDF.main(String[]),5.561059902504641e-11,1.0312494276420785e-09
"org.apache.pdfbox.examples.pdmodel.CreateLandscapePDF.doIt(String, String)","org.apache.pdfbox.examples.pdmodel.CreateLandscapePDF.doIt(String, String)",4.050389348689112e-06,1.0992503605859357e-07
org.apache.pdfbox.examples.pdmodel.EmbeddedFiles.doIt(String),org.apache.pdfbox.examples.pdmodel.EmbeddedFiles.doIt(String),5.658761100946904e-06,1.1395243191381444e-07
org.apache.pdfbox.examples.signature.CreateSignature.main(String[]),org.apache.pdfbox.examples.signature.CreateSignature.main(String[]),6.217481259088988e-06,6.107232547520813e-11
org.apache.pdfbox.examples.signature.CreateVisibleSignature.main(String[]),org.apache.pdfbox.examples.signature.CreateVisibleSignature.main(String[]),4.389161978161461e-06,4.475737942275562e-11
"org.apache.pdfbox.examples.signature.CreateVisibleSignature.signPDF(File, PDVisibleSigProperties)","org.apache.pdfbox.examples.signature.CreateVisibleSignature.signPDF(File, File, TSAClient, String)",2.8899205560476552e-09,4.411476441361341e-05
org.apache.pdfbox.cos.COSArray.accept(ICOSVisitor),org.apache.pdfbox.cos.COSArray.accept(ICOSVisitor),2.260333282222051e-08,3.486992492352625e-08
