method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.thrift.test.Foo.add_result.isSetSuccess(),0,6,2,4,0,0
"org.apache.avro.reflect.ReflectData.getClassProp(Schema, String)",1,19,4,6,1,1
"org.apache.avro.mapred.Pair.Pair(Long, Float)",11,16,0,0,7,4
org.apache.avro.thrift.test.Foo.add_result._Fields.findByName(String),-1,1,0,0,0,0
"org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)",3,66,0,0,5,22
org.apache.avro.io.Decoder.readNull(),0,29,4,21,0,0
org.apache.avro.io.Perf.GenericWithOutOfOrder.GenericWithOutOfOrder(),11,2,0,0,1,1
org.apache.avro.io.BinaryEncoder.bytesBuffered(),3,2,1,1,0,0
org.apache.avro.ipc.SaslSocketServer.AnonymousServer.evaluateResponse(byte[]),-1,1,0,0,0,0
"org.apache.avro.Schema.ArraySchema.toJson(Names, JsonGenerator)",11,4,0,0,2,2
org.apache.avro.mapred.Pair.key(),0,58,8,14,0,0
org.apache.avro.io.DecoderFactory.defaultFactory(),11,2,0,0,1,1
"org.apache.avro.io.LegacyBinaryEncoder.encodeFloat(float, OutputStream)",11,2,1,1,0,0
"org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)",7,403,10,43,13,47
"org.apache.avro.compiler.specific.SpecificCompiler.mangle(String, Set)",1,3,1,1,1,1
org.apache.avro.io.Decoder.readDouble(),0,52,4,36,0,0
"org.apache.avro.mojo.SchemaMojo.doCompile(String, File, File)",11,90,0,0,8,23
"org.apache.avro.tool.RpcReceiveTool.SinkResponder.respond(Message, Object)",11,95,0,0,8,32
org.apache.avro.mapred.tether.TetherTask.Collector.Collector(Schema),11,13,4,2,3,2
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",11,46,4,22,0,0
"org.apache.avro.io.BinaryData.encodeInt(int, byte[], int)",0,18,4,6,0,0
"org.apache.avro.reflect.ReflectData.getField(Class, String)",1,9,3,2,2,1
org.apache.avro.Protocol.Message.isOneWay(),0,331,14,67,0,0
org.apache.avro.file.DataFileStream.resolveCodec(),2,70,6,24,2,4
"org.apache.avro.file.SeekableInput.read(byte[], int, int)",0,67,8,18,0,0
org.apache.avro.thrift.test.Error.write(org.apache.thrift.protocol.TProtocol),11,3,1,1,1,1
org.apache.avro.thrift.test.Foo.ping_args.writeObject(java.io.ObjectOutputStream),11,3,0,0,2,1
org.apache.avro.io.ValidatingDecoder.readMapStart(),4,73,6,31,3,3
org.apache.avro.thrift.test.Error.Error(Error),11,3,1,1,1,1
"org.apache.avro.tool.InduceSchemaTool.run(InputStream, PrintStream, PrintStream, List)",11,76,0,0,6,20
org.apache.avro.ipc.trace.TraceCollection.TraceNodeStats.getMinBytes(List),11,2,0,0,1,1
"org.apache.avro.ipc.SaslSocketTransceiver.SaslParticipant.wrap(byte[], int, int)",0,4,2,2,0,0
org.apache.avro.ipc.SaslSocketTransceiver.SaslParticipant.SaslParticipant(SaslServer),11,17,5,9,0,0
"org.apache.avro.mapred.AvroKeyComparator.compare(AvroWrapper, AvroWrapper)",11,35,0,0,6,13
org.apache.avro.thrift.test.Foo.add_result.setSuccess(int),11,4,2,1,1,1
org.apache.avro.thrift.test.Error.isSetMessage(),0,5,1,4,0,0
org.apache.avro.thrift.test.Foo.add_args.unsetNum2(),11,7,3,3,0,0
org.apache.avro.ipc.CallFuture.getError(),9,136,11,31,0,0
org.apache.avro.io.BinaryDecoder.BufferAccessor.getLim(),0,14,2,8,0,0
org.apache.avro.io.JsonDecoder.readLong(),11,11,0,0,4,4
org.apache.avro.mapred.WordCountUtil.validateSortedFile(),11,68,0,0,6,22
org.apache.avro.io.BinaryDecoder.isEnd(),3,32,6,8,1,2
"org.apache.avro.io.DecoderFactory.validatingDecoder(Schema, Decoder)",11,37,0,0,8,15
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),11,9,0,0,3,3
org.apache.avro.file.NullCodec.equals(Object),-1,1,0,0,0,0
"org.apache.avro.mapred.tether.TetherKeyComparator.compare(TetherData, TetherData)",11,41,0,0,7,19
org.apache.avro.ipc.stats.StatsPluginOverhead.createServer(boolean),11,161,11,29,12,10
"org.apache.avro.mapred.tether.WordCountTask.map(Utf8, Collector)",11,71,0,0,7,30
org.apache.avro.ipc.Requestor.TransceiverCallback.handleResult(List),11,286,0,0,14,68
org.apache.avro.io.Perf.GenericOneTimeReaderUse.GenericOneTimeReaderUse(),-1,1,0,0,0,0
org.apache.avro.specific.SpecificRecordBase.toString(),11,14,0,0,4,7
org.apache.avro.thrift.test.Foo.zip_args.zip_args(zip_args),11,2,1,1,0,0
"org.apache.avro.ipc.Requestor.writeRequest(Schema, Object, Encoder)",8,121,10,31,0,0
org.apache.avro.ipc.SaslSocketTransceiver.close(),11,3,0,0,1,2
org.apache.avro.mapred.tether.TetheredProcess.startSubprocess(JobConf),4,30,7,9,1,1
org.apache.avro.Schema.toString(),3,152,8,33,3,2
org.apache.avro.thrift.test.Foo.Processor.getProcessMap(Map),0,6,1,2,1,3
org.apache.avro.io.ValidatingEncoder.writeEnum(int),11,9,0,0,3,4
org.apache.avro.Protocol.parse(JsonNode),11,62,0,0,5,30
org.apache.avro.file.SnappyCodec.Option.createInstance(),11,2,0,0,1,1
org.apache.avro.ipc.NettyTransceiver.isChannelReady(Channel),0,2,1,1,0,0
"org.apache.avro.Protocol.parseMessage(String, JsonNode)",11,57,1,1,4,25
org.apache.avro.protobuf.ProtobufData.getRecordSchema(Object),-1,1,0,0,0,0
org.apache.avro.thrift.test.Foo.add_args._Fields.findByThriftId(int),0,3,1,2,0,0
org.apache.avro.io.JsonDecoder.skipArray(),11,11,0,0,4,4
"org.apache.avro.Schema.Props.add(String, String)",1,4,1,2,1,1
org.apache.avro.mapred.AvroSerialization.AvroWrapperDeserializer.close(),11,2,0,0,1,1
org.apache.avro.generic.GenericData.StringType.valueOf(),0,93,9,23,0,0
org.apache.avro.mapred.tether.TetherReducer.close(),11,6,0,0,2,3
org.apache.avro.thrift.test.Foo.add_result.unsetSuccess(),11,4,3,1,0,0
org.apache.avro.Protocol.parseName(JsonNode),11,62,6,29,2,1
org.apache.avro.Schema.Name.equals(Object),0,2,1,1,0,0
org.apache.avro.io.ValidatingEncoder.writeFloat(float),11,8,0,0,3,3
"org.apache.avro.mapred.Pair.Pair(Long, GenericContainer)",11,17,0,0,7,4
org.apache.avro.io.BinaryDecoder.readBoolean(),11,211,14,47,1,1
org.apache.avro.io.ResolvingDecoder.drain(),5,187,12,38,3,2
org.apache.avro.mapred.tether.TetherOutputService.fail(String),-1,1,0,0,0,0
org.apache.avro.io.Perf.GenericOneTimeUse.GenericOneTimeUse(),-1,1,0,0,0,0
org.apache.avro.generic.GenericData.Record.getSchema(),11,37,5,13,0,0
