sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
250;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.setBackgroundColor(PDGamma);34;0;0;8;11
251;org.apache.pdfbox.preflight.font.util.Type1.addCidWithLabel(Integer, String);24;5;7;0;0
252;org.apache.pdfbox.pdmodel.graphics.shading.TriangleBasedShadingContext.TriangleBasedShadingContext(PDShadingResources, ColorModel, AffineTransform, Matrix, int, Rectangle);112;4;4;12;17
253;org.apache.pdfbox.pdmodel.interactive.form.PDCheckbox.check();53;8;16;2;2
254;org.apache.pdfbox.examples.pdmodel.ImageToPDF.main(String[]);162;0;0;10;46
255;org.apache.pdfbox.preflight.content.ContentStreamWrapper.validXObjContentStream(PDXObjectForm);69;5;4;9;11
256;org.apache.pdfbox.pdmodel.common.COSObjectable.getCOSObject();147;7;47;0;0
257;org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getDictionary();49;5;15;0;0
258;org.apache.pdfbox.pdmodel.common.function.type4.Type4Tester.popReal(float);3;0;0;2;1
259;org.apache.pdfbox.preflight.annotation.AnnotationValidator.checkColors();137;7;12;11;15
260;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.setAnnotationFlags(int);95;8;25;3;2
261;org.apache.pdfbox.preflight.font.util.Type1Parser.parseClearPartOfFontProgram(PeekInputStream);48;6;6;4;10
262;org.apache.pdfbox.preflight.utils.COSUtils.isDictionary(COSBase, COSDocument);77;4;21;3;10
263;org.apache.pdfbox.util.TextPosition.getWidthRot(float);7;3;2;1;2
264;org.apache.pdfbox.cos.COSDocument.print();1;0;0;0;0
