class,path,package,methods
TestSchema,lang\java\avro\src\test\java\org\apache\avro\TestSchema.java,org.apache.avro,"testSplitSchemaBuild,testDuplicateRecordFieldName,testCreateUnionVarargs,testEmptyRecordSchema,testSchemaWithFields,testSchemaWithNullFields"
SpecificDatumWriter,lang\java\avro\src\main\java\org\apache\avro\specific\SpecificDatumWriter.java,org.apache.avro.specific,"SpecificDatumWriter,SpecificDatumWriter,SpecificDatumWriter,SpecificDatumWriter,SpecificDatumWriter,getSpecificData,writeEnum,writeString,writeField"
SpecificRecordBase,lang\java\avro\src\main\java\org\apache\avro\specific\SpecificRecordBase.java,org.apache.avro.specific,"getSchema,get,put,getConversion,put,get,getConverion,equals,hashCode,compareTo,toString,writeExternal,readExternal"
AvroRuntimeException,lang\java\avro\src\main\java\org\apache\avro\AvroRuntimeException.java,org.apache.avro,"AvroRuntimeException,AvroRuntimeException,AvroRuntimeException"
ClassUtils,lang\java\avro\src\main\java\org\apache\avro\util\ClassUtils.java,org.apache.avro.util,"ClassUtils,forName,forName,forName,forName"
ThriftDatumReader,lang\java\thrift\src\main\java\org\apache\avro\thrift\ThriftDatumReader.java,org.apache.avro.thrift,"ThriftDatumReader,ThriftDatumReader,ThriftDatumReader,ThriftDatumReader,ThriftDatumReader,createEnum,readInt,newArray"
JsonProperties,lang\java\avro\src\main\java\org\apache\avro\JsonProperties.java,org.apache.avro,"JsonProperties,getProp,getJsonProp,getObjectProp,addProp,addProp,addProp,getProps,jsonProps,getJsonProps,getObjectProps,writeProps"
GenerateBlockingData,lang\java\avro\src\test\java\org\apache\avro\GenerateBlockingData.java,org.apache.avro,"writeBlock,main"
EncoderFactory,lang\java\avro\src\main\java\org\apache\avro\io\EncoderFactory.java,org.apache.avro.io,"get,configureBufferSize,getBufferSize,configureBlockSize,getBlockSize,binaryEncoder,directBinaryEncoder,blockingBinaryEncoder,jsonEncoder,jsonEncoder,jsonEncoder,validatingEncoder"
RandomData,lang\java\avro\src\test\java\org\apache\avro\RandomData.java,org.apache.avro,"RandomData,RandomData,iterator,generate,randomUtf8,randomBytes,main"
TestAvroWrapper,lang\java\mapred\src\test\java\org\apache\avro\mapred\TestAvroWrapper.java,org.apache.avro.mapred,testToString
FooOrBar,lang\java\thrift\src\test\java\org\apache\avro\thrift\test\FooOrBar.java,org.apache.avro.thrift.test,"FooOrBar,FooOrBar,FooOrBar,deepCopy,foo,bar,checkType,standardSchemeReadValue,standardSchemeWriteValue,tupleSchemeReadValue,tupleSchemeWriteValue,getFieldDesc,getStructDesc,enumForId,fieldForId,getFoo,setFoo,getBar,setBar,isSetFoo,isSetBar,equals,equals,compareTo,hashCode,writeObject,readObject"
TestProtocolSpecificMeta,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolSpecificMeta.java,org.apache.avro,"createServer,createTransceiver,addRpcPlugins"
TestProtocolSpecific,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolSpecific.java,org.apache.avro,"testStartServer,addRpcPlugins,createServer,createTransceiver,testClassLoader,testGetRemote,testHello,testHashCode,testEcho,testAdd,testEchoBytes,testEmptyEchoBytes,testError,testUndeclaredError,testOneWay,testRepeatedAccess,testConnectionRefusedOneWay,testParamVariation,testHandshakeCount,testStopServer,getExpectedHandshakeCount"
RPCMetaTestPlugin,lang\java\ipc\src\test\java\org\apache\avro\RPCMetaTestPlugin.java,org.apache.avro,"RPCMetaTestPlugin,clientStartConnect,serverConnecting,clientFinishConnect,clientSendRequest,serverReceiveRequest,serverSendResponse,clientReceiveResponse,checkRPCMetaMap"
DateAsLongEncoding,lang\java\avro\src\main\java\org\apache\avro\reflect\DateAsLongEncoding.java,org.apache.avro.reflect,"write,read"
Decoder,lang\java\avro\src\main\java\org\apache\avro\io\Decoder.java,org.apache.avro.io,"readNull,readBoolean,readInt,readLong,readFloat,readDouble,readString,readString,skipString,readBytes,skipBytes,readFixed,readFixed,skipFixed,readEnum,readArrayStart,arrayNext,skipArray,readMapStart,mapNext,skipMap,readIndex"
CustomEncoding,lang\java\avro\src\main\java\org\apache\avro\reflect\CustomEncoding.java,org.apache.avro.reflect,"write,read,read,getSchema"
AvroSequenceFileOutputFormat,lang\java\mapred\src\main\java\org\apache\avro\mapreduce\AvroSequenceFileOutputFormat.java,org.apache.avro.mapreduce,"getRecordWriter,setOutputCompressionType,getOutputCompressionType"
AvroSequenceFile,lang\java\mapred\src\main\java\org\apache\avro\hadoop\io\AvroSequenceFile.java,org.apache.avro.hadoop.io,"AvroSequenceFile,createWriter,getMetadata"
ValidateCanBeRead,lang\java\avro\src\main\java\org\apache\avro\ValidateCanBeRead.java,org.apache.avro,validate
SchemaValidationException,lang\java\avro\src\main\java\org\apache\avro\SchemaValidationException.java,org.apache.avro,"SchemaValidationException,SchemaValidationException,getMessage"
ValidateMutualRead,lang\java\avro\src\main\java\org\apache\avro\ValidateMutualRead.java,org.apache.avro,"validate,canRead"
TestProtocolParsing,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolParsing.java,org.apache.avro,"getSimpleProtocol,testParsing,parseMessage,oneWay,oneWayResponse,oneWayError,testMessageFieldAliases,testMessageCustomProperties"
SchemaParseException,lang\java\avro\src\main\java\org\apache\avro\SchemaParseException.java,org.apache.avro,"SchemaParseException,SchemaParseException"
UnresolvedUnionException,lang\java\avro\src\main\java\org\apache\avro\UnresolvedUnionException.java,org.apache.avro,"UnresolvedUnionException,getUnresolvedDatum,getUnionSchema"
SequenceFileRecordReader,lang\java\mapred\src\main\java\org\apache\avro\mapred\SequenceFileRecordReader.java,org.apache.avro.mapred,SequenceFileRecordReader
AvroRecordReader,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroRecordReader.java,org.apache.avro.mapred,"AvroRecordReader,AvroRecordReader,createKey,createValue,next,getProgress,getPos,close"
SequenceFileReader,lang\java\mapred\src\main\java\org\apache\avro\mapred\SequenceFileReader.java,org.apache.avro.mapred,"SequenceFileReader,SequenceFileReader,SequenceFileReader,close,remove,iterator,getSchema,prepare,hasNext,next,next,sync,pastSync,tell"
ValidateAll,lang\java\avro\src\main\java\org\apache\avro\ValidateAll.java,org.apache.avro,"ValidateAll,validate"
RecordBuilderBase,lang\java\avro\src\main\java\org\apache\avro\data\RecordBuilderBase.java,org.apache.avro.data,"schema,fields,fieldSetFlags,data,RecordBuilderBase,RecordBuilderBase,validate,isValidValue,defaultValue,hashCode,equals"
ResolvingGrammarGenerator,lang\java\avro\src\main\java\org\apache\avro\io\parsing\ResolvingGrammarGenerator.java,org.apache.avro.io.parsing,"generate,generate,resolveUnion,resolveRecords,getBinary,encode,mkEnumAdjust,hasMatchError,bestBranch"
CallFuture,lang\java\ipc\src\main\java\org\apache\avro\ipc\CallFuture.java,org.apache.avro.ipc,"CallFuture,CallFuture,handleResult,handleError,getResult,getError,cancel,isCancelled,get,get,await,await,isDone"
CodecFactory,lang\java\avro\src\main\java\org\apache\avro\file\CodecFactory.java,org.apache.avro.file,"nullCodec,deflateCodec,xzCodec,snappyCodec,bzip2Codec,createInstance,fromString,addCodec,toString"
