method,method,invocation counts
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.isEmpty(),org.apache.pdfbox.cos.COSStream.getLength(),2
org.apache.pdfbox.cos.COSStream.getLength(),"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, int)",3
"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, int)","org.apache.pdfbox.cos.COSDictionary.getInt(COSName, COSName, int)",649
"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, COSName, int)","org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName, COSName)",675
"org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName, COSName)",org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),1106
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getImage(),org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getColorKeyMask(),2
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getColorKeyMask(),org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),2
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getColorKeyMask(),org.apache.pdfbox.pdmodel.graphics.PDXObject.getCOSObject(),2
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",org.apache.pdfbox.debugger.streampane.tooltip.GToolTip.<init>(String),2
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip.<init>(String),org.apache.pdfbox.debugger.streampane.tooltip.GToolTip.createMarkUp(String),6
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip.createMarkUp(String),org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip.extractColorValues(String),6
org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip.extractColorValues(String),org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWords(String),28
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip.<init>(String),org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip.<init>(),6
org.apache.pdfbox.debugger.streampane.Stream.getImage(PDResources),"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.<init>(PDStream, PDResources)",2
org.apache.pdfbox.debugger.streampane.Stream.getImage(PDResources),org.apache.pdfbox.pdmodel.common.PDStream.<init>(COSStream),2
org.apache.pdfbox.cos.COSStream.createRawOutputStream(),org.apache.pdfbox.io.ScratchFile.createBuffer(),23
org.apache.pdfbox.cos.COSStream.createRawOutputStream(),org.apache.pdfbox.cos.COSStream.checkClosed(),27
org.apache.pdfbox.cos.COSStream.createRawOutputStream(),org.apache.pdfbox.io.RandomAccessOutputStream.<init>(RandomAccessWrite),23
"org.apache.pdfbox.debugger.streampane.Stream.isImageStream(COSDictionary, boolean)",org.apache.pdfbox.cos.COSDictionary.containsKey(COSName),6
org.apache.pdfbox.debugger.colorpane.CSIndexed.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.<init>(COSArray),1
org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.<init>(COSArray),"org.apache.pdfbox.pdmodel.graphics.color.PDColor.<init>(float[], PDColorSpace)",7
org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDSpecialColorSpace.<init>(),7
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)","org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.findColorSpace(int, String)",2
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.findColorSpace(int, String)",org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),2
"org.apache.pdfbox.debugger.fontencodingpane.FontEncodingPaneController.<init>(COSName, COSDictionary)",org.apache.pdfbox.pdmodel.PDResources.<init>(COSDictionary),1
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip.<init>(String),org.apache.pdfbox.debugger.streampane.tooltip.KToolTip.createMarkUp(String),10
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip.createMarkUp(String),org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip.extractColorValues(String),10
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip.<init>(String),org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip.<init>(),10
org.apache.pdfbox.debugger.treestatus.TreeStatusPane.<init>(JTree),org.apache.pdfbox.debugger.treestatus.TreeStatusPane.init(),1
"org.apache.pdfbox.debugger.fontencodingpane.Type0Font.<init>(PDCIDFontType2, PDFont)","org.apache.pdfbox.debugger.fontencodingpane.Type0Font.readCIDToGIDMap(PDCIDFontType2, PDFont)",1
org.apache.pdfbox.debugger.flagbitspane.FontFlag.getFlagBits(),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isFixedPitch(),1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isFixedPitch(),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isFlagBitOn(int),11
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isFlagBitOn(int),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFlags(),106
org.apache.pdfbox.debugger.flagbitspane.FontFlag.getFlagBits(),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.<init>(COSDictionary),1
org.apache.pdfbox.debugger.flagbitspane.FontFlag.<init>(COSDictionary),org.apache.pdfbox.debugger.flagbitspane.Flag.<init>(),4
"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane.<init>(COSDictionary, COSName)","org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane.createPane(COSDictionary, COSName)",1
"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane.createPane(COSDictionary, COSName)",org.apache.pdfbox.cos.COSName.equals(Object),5
org.apache.pdfbox.debugger.fontencodingpane.SimpleFont.<init>(PDSimpleFont),org.apache.pdfbox.debugger.fontencodingpane.SimpleFont.getGlyphs(PDSimpleFont),1
org.apache.pdfbox.debugger.ui.RotationMenu.getInstance(),org.apache.pdfbox.debugger.ui.RotationMenu.<init>(),1
org.apache.pdfbox.debugger.ui.RotationMenu.<init>(),org.apache.pdfbox.debugger.ui.RotationMenu.createRotationMenu(),1
org.apache.pdfbox.debugger.ui.RotationMenu.<init>(),org.apache.pdfbox.debugger.ui.MenuBase.<init>(),1
org.apache.pdfbox.cos.COSDocument.<init>(),org.apache.pdfbox.io.ScratchFile.getMainMemoryOnlyInstance(),53
org.apache.pdfbox.cos.COSDocument.<init>(),org.apache.pdfbox.cos.COSDocument.<init>(ScratchFile),52
org.apache.pdfbox.cos.COSDocument.<init>(ScratchFile),org.apache.pdfbox.cos.COSBase.<init>(),160
org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject.<init>(COSStream),"org.apache.pdfbox.pdmodel.graphics.PDXObject.<init>(COSStream, COSName)",3
"org.apache.pdfbox.pdmodel.graphics.PDXObject.<init>(COSStream, COSName)","org.apache.pdfbox.cos.COSDictionary.setName(COSName, String)",2
"org.apache.pdfbox.pdmodel.graphics.PDXObject.<init>(COSStream, COSName)",org.apache.pdfbox.pdmodel.common.PDStream.<init>(COSStream),7
