method,issue
org.apache.ivy.Ivy.postConfigure(),
org.apache.ivy.core.module.id.ModuleRevisionId.equals(Object),
org.apache.ivy.plugins.repository.ssh.SshRepository.resolveResource(String),
org.apache.ivy.core.module.status.StatusManager.getDeliveryStatusListString(),
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.check(),
"org.apache.ivy.plugins.repository.sftp.SFTPRepository.put(File, String, boolean)",
org.apache.ivy.plugins.parser.m2.PomReader.getPlugins(),
org.apache.ivy.core.resolve.VisitNode.isCircular(),
"org.apache.ivy.core.search.SearchEngine.listTokenValues(String, Map)",
org.apache.ivy.plugins.repository.vfs.VfsResource.getChildren(),
"org.apache.ivy.plugins.resolver.BasicResolver.getRevision(ResolvedResource, ModuleRevisionId, ModuleDescriptor)",
org.apache.ivy.ant.IvyConvertPom.doExecute(),
"org.apache.ivy.plugins.parser.m2.PomReader.PomReader(URL, Resource)",
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.dependsOn(VersionMatcher, ModuleDescriptor)",
"org.apache.ivy.plugins.resolver.RepositoryResolver.publish(Artifact, File, boolean)",
org.apache.ivy.core.module.id.ModuleRevisionId.getName(),
org.apache.ivy.plugins.repository.vfs.VfsRepository.createVFSManager(),
"org.apache.ivy.plugins.resolver.BasicResolver.findFirstArtifactRef(ModuleDescriptor, DependencyDescriptor, ResolveData)",
"org.apache.ivy.core.module.id.ArtifactRevisionId.ArtifactRevisionId(ArtifactId, ModuleRevisionId, Map)",
org.apache.ivy.plugins.resolver.BasicResolver.getChecksumAlgorithms(),
"org.apache.ivy.plugins.version.PatternVersionMatcher.accept(ModuleRevisionId, ModuleRevisionId)",
org.apache.ivy.util.Message.verbose(String),
"org.apache.ivy.ant.IvyBuildNumber.findFirstNumber(String, int)",
"org.apache.ivy.plugins.conflict.RegexpConflictManager.resolveConflicts(IvyNode, Collection)",
"org.apache.ivy.core.module.id.ModuleRules.getRules(Map, Filter)",IVY-1465
org.apache.ivy.plugins.repository.vfs.VfsRepository.list(String),
org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.dumpSettings(),
org.apache.ivy.core.settings.XmlSettingsParser.urlFromFileAttribute(String),
org.apache.ivy.ant.IvyFindRevision.doExecute(),
org.apache.ivy.plugins.version.Match.getPatternMatcher(ModuleRevisionId),
org.apache.ivy.core.resolve.IvyNodeUsage.getDependencyIncludesSet(String),
org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.parseURI(String),
