method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorWriter.printDependencies(ModuleDescriptor, PrintWriter, PomWriterOptions, int, boolean)",22,210,15,75,57,12,8,31,3,28,0,24,0.04347826086956519,0.10891089108910891,0.40540540540540543,0.08960573476702509,0.3142857142857143,0.3142857142857143,0.023391812865497075,0.3924050632911392,0.2727272727272727,0.00012126356636148669,1e-13,1.0285113175149484e-06,0.1317128565758204
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",22,180,6,52,52,19,8,28,1,57540,163,41671,0.04347826086956519,0.09327774882751433,0.16216216216216217,0.06212664277180406,0.2857142857142857,0.5142857142857142,0.023391812865497075,0.35443037974683544,0.09090909090909091,0.24919662887285515,0.024809741248097414,0.0018633942000368653,0.13102318451554157
org.apache.ivy.ant.BuildOBRTask.doExecute(),22,428,22,85,84,18,13,25,0,219,0,5,0.04347826086956519,0.2225117248566962,0.5945945945945946,0.1015531660692951,0.4685714285714286,0.4857142857142857,0.038011695906432746,0.31645569620253167,1e-13,0.0009484543226130567,1e-13,1.7887153348086062e-07,0.1309133404646305
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),7,181,12,59,68,7,11,43,1,27573,224,3266,0.6956521739130435,0.09379885356956748,0.32432432432432434,0.07048984468339307,0.37714285714285717,0.17142857142857143,0.03216374269005848,0.5443037974683544,0.09090909090909091,0.11941429697447402,0.03409436834094368,0.00014600388920375248,0.12917680083961272
org.apache.ivy.ant.IvyRetrieve.doExecute(),22,384,13,80,43,8,7,50,2,4434,0,26,0.04347826086956519,0.1995831162063575,0.35135135135135137,0.0955794504181601,0.2342857142857143,0.2,0.02046783625730994,0.6329113924050633,0.18181818181818182,0.019202951901672573,1e-13,1.1179470842553788e-06,0.12750042322653163
"org.apache.ivy.plugins.repository.vsftp.VsftpRepository.get(String, File)",22,203,11,47,73,15,6,28,1,149,0,11,0.04347826086956519,0.10526315789473684,0.2972972972972973,0.056152927120669056,0.4057142857142857,0.4,0.017543859649122806,0.35443037974683544,0.09090909090909091,0.0006452954067093399,1e-13,4.471788337021515e-07,0.12687327354069003
"org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry.build(Resource, Map)",22,285,21,57,61,13,18,35,1,3,0,3,0.04347826086956519,0.14799374674309537,0.5675675675675675,0.06810035842293907,0.33714285714285713,0.34285714285714286,0.05263157894736842,0.4430379746835443,0.09090909090909091,1.2992524967302146e-05,1e-13,8.943576674043031e-08,0.12665831531284266
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependency(ModuleDescriptor, DependencyDescriptor, PrintWriter)",2,66,8,31,69,15,6,22,2,245,9,390,0.9130434782608696,0.033871808233454925,0.21621621621621623,0.037037037037037035,0.38285714285714284,0.4,0.017543859649122806,0.27848101265822783,0.18181818181818182,0.0010610562056630087,0.0013698630136986301,1.7395256631013693e-05,0.12619245261532983
"org.apache.ivy.util.Configurator.setAttribute(String, String)",1,75,8,22,62,17,20,29,0,516,56,21776,0.9565217391304348,0.0385617509119333,0.21621621621621623,0.026284348864994027,0.34285714285714286,0.45714285714285713,0.05847953216374269,0.3670886075949367,1e-13,0.002234714294375969,0.00852359208523592,0.000973731910386435,0.12316178828928634
"org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions)",18,697,26,131,46,9,9,29,3,21889,26,596,0.21739130434782605,0.36268890046899427,0.7027027027027027,0.15651135005973715,0.25142857142857145,0.22857142857142856,0.02631578947368421,0.3670886075949367,0.2727272727272727,0.09479779300309223,0.0039573820395738205,2.6607140605278015e-05,0.12053716913999886
org.apache.ivy.osgi.util.Version.ensureSplitted(),0,10,2,8,33,10,11,9,0,4787,2258,22362419,1.0,0.004689942678478374,0.05405405405405406,0.009557945041816009,0.17714285714285713,0.2571428571428571,0.03216374269005848,0.11392405063291139,1e-13,0.020731739006158458,0.3436834094368341,1.0,0.11877099044704445
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorWriter.write(ModuleDescriptor, File, PomWriterOptions)",22,249,17,69,71,10,17,31,1,243,2,31,0.04347826086956519,0.12923397602918185,0.4594594594594595,0.08243727598566308,0.3942857142857143,0.2571428571428571,0.049707602339181284,0.3924050632911392,0.09090909090909091,0.0010523945223514738,0.00030441400304414006,1.3415365011064546e-06,0.11848547222263248
org.apache.ivy.ant.IvyRepositoryReport.doExecute(),22,746,14,100,54,11,15,35,1,1034,0,6,0.04347826086956519,0.38822303282959875,0.3783783783783784,0.11947431302270012,0.29714285714285715,0.2857142857142857,0.043859649122807015,0.4430379746835443,0.09090909090909091,0.004478090272063473,1e-13,2.2358941685107576e-07,0.11623983719461524
"org.apache.ivy.core.search.SearchEngine.listModules(ModuleRevisionId, PatternMatcher)",15,282,22,74,40,7,12,29,4,440,0,27,0.34782608695652173,0.1464304325169359,0.5945945945945946,0.0884109916367981,0.21714285714285714,0.17142857142857143,0.03508771929824561,0.3670886075949367,0.36363636363636365,0.001905570328537648,1e-13,1.162664967625594e-06,0.11553194209755867
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.resolveTokenValues(String[], String, Map, boolean)",22,17,5,12,55,11,5,29,2,1218,7,517,0.04347826086956519,0.008337675872850442,0.13513513513513514,0.014336917562724014,0.3028571428571429,0.2857142857142857,0.014619883040935672,0.3670886075949367,0.18181818181818182,0.005274965136724671,0.00106544901065449,2.3074427819031018e-05,0.1152631806784286
"org.apache.ivy.util.cli.CommandLineParser.printHelp(PrintWriter, int, String, boolean)",22,7,3,5,42,9,9,23,4,5,0,4,0.04347826086956519,0.003126628452318916,0.08108108108108109,0.005973715651135006,0.22857142857142856,0.22857142857142856,0.02631578947368421,0.2911392405063291,0.36363636363636365,2.165420827883691e-05,1e-13,1.3415365011064545e-07,0.11382354641865791
org.apache.ivy.util.Configurator.startCreateChild(String),1,75,9,25,74,14,13,23,0,8054,56,16844,0.9565217391304348,0.0385617509119333,0.24324324324324326,0.02986857825567503,0.4114285714285714,0.37142857142857144,0.038011695906432746,0.2911392405063291,1e-13,0.03488059869555049,0.00852359208523592,0.0007531833096045338,0.11353414854330915
"org.apache.ivy.util.ConfigurationUtils.replaceWildcards(String[], ModuleDescriptor)",1,330,14,92,34,12,10,19,4,75,11,1361,0.9565217391304348,0.17144346013548722,0.3783783783783784,0.10991636798088411,0.18285714285714286,0.3142857142857143,0.029239766081871343,0.24050632911392406,0.36363636363636365,0.00032481312418255364,0.0016742770167427702,6.081632138349261e-05,0.11319125427695009
"org.apache.ivy.osgi.repo.AbstractOSGiResolver.findNames(Map, String)",22,283,20,47,53,15,9,18,2,714,0,12,0.04347826086956519,0.14695153725898905,0.5405405405405406,0.056152927120669056,0.2914285714285714,0.4,0.02631578947368421,0.22784810126582278,0.18181818181818182,0.0030922209422179106,1e-13,4.918967170723666e-07,0.11284249549154317
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",17,321,22,49,44,6,7,34,3,5012,70,883,0.26086956521739135,0.16675351745700887,0.5945945945945946,0.05854241338112306,0.24,0.14285714285714285,0.02046783625730994,0.43037974683544306,0.2727272727272727,0.021706178378706118,0.0106544901065449,3.944117313252977e-05,0.11210223092819468
org.apache.ivy.ant.IvyReport.doExecute(),22,85,9,17,61,16,11,25,0,3804,0,7,0.04347826086956519,0.04377279833246483,0.24324324324324326,0.02031063321385902,0.33714285714285713,0.42857142857142855,0.03216374269005848,0.31645569620253167,1e-13,0.01647452165853912,1e-13,2.683073002212909e-07,0.11167418236211421
