class path,method name,method arguments,Time,OwnTime,count
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testWithAPreviousResolveAndResolveId,,502,0,1
src\java\org\apache\ivy\ant\AddPathTask.java,execute,,0,0,2
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,getPublicConfigurationsNames,,21,9,2010
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleUpdaterTest.java,testUpdateWithComments,,60,0,1
src\java\org\apache\ivy\core\resolve\IvyNode.java,toString,,131,2,3656
src\java\org\apache\ivy\util\Configurator.java,addMacroElement,"String, boolean",0,0,4
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,updateDependency,"ModuleRevisionId, IvyNode",0,0,11
test\java\org\apache\ivy\plugins\conflict\LatestCompatibleConflictManagerTest.java,testCompatibilityResolveCircularDependency3,,539,0,1
src\java\org\apache\ivy\util\url\URLHandlerDispatcher.java,getLastModified,URL,16,0,3
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveDefaultWithArtifactsConf1,,164,0,1
test\java\org\apache\ivy\ant\IvyBuildListTest.java,testWithLeafCircular,,295,0,1
src\java\org\apache\ivy\util\Credentials.java,<init>,"String, String, String, String",0,0,56
src\java\org\apache\ivy\plugins\report\XmlReportOutputter.java,output,"ConfigurationResolveReport, String, String[], ResolutionCacheManager",6396,18,594
src\java\org\apache\ivy\core\settings\IvySettings.java,typeDefs,InputStream,0,0,4
test\java\org\apache\ivy\plugins\matcher\AbstractPatternMatcherTest.java,testNullExpression,,0,0,4
test\java\org\apache\ivy\plugins\matcher\ExactPatternMatcherTest.java,testImplementation,,0,0,1
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,getContentLength,,0,0,1
src\java\org\apache\ivy\util\cli\CommandLine.java,getOptionValue,"String, String",0,0,15
src\java\org\apache\ivy\plugins\resolver\util\ApacheHttpURLLister.java,listAll,URL,1,0,5
src\java\org\apache\ivy\core\module\descriptor\AbstractArtifact.java,getQualifiedExtraAttributes,,568,10,15788
src\java\org\apache\ivy\ant\AddPathTask.java,createPath,,0,0,2
test\java\org\apache\ivy\plugins\matcher\GlobPatternMatcherTest.java,testInvalidRegexpSyntaxAsNormalCharacter,,0,0,1
src\java\org\apache\ivy\core\settings\XmlSettingsParser.java,inConfiguratorStarted,"String, Map",6524,38,12977
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveWithExcludesArtifacts5,,926,0,1
src\java\org\apache\ivy\plugins\parser\m2\PomReader.java,replaceProps,String,28,1,1735
src\java\org\apache\ivy\plugins\resolver\AbstractResolver.java,toSystem,ResolvedModuleRevision,0,0,1
src\java\org\apache\ivy\plugins\repository\sftp\SFTPRepository.java,openStream,SFTPResource,61,0,8
src\java\org\apache\ivy\ant\IvyReport.java,genStyled,"String[], File, String",4686,0,11
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveDefaultWithArtifactsConf2,,158,0,1
src\java\org\apache\ivy\core\sort\ModuleInSort.java,getDependencies,,3,1,1581
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getRepositoryCacheRoot,,35,24,53224
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testExtends,,198,0,1
src\java\org\apache\ivy\plugins\version\ChainVersionMatcher.java,getMatchers,,0,0,6
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveMultipleExtendsAndConfs,,382,0,1
src\java\org\apache\ivy\core\search\RevisionEntry.java,toString,,0,0,10
