method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(InputStream, BinaryDecoder)",3,104,12,32,25,6,16,6,0,21,0,419,0.7,0.2845303867403315,0.631578947368421,0.32,0.24489795918367346,0.13157894736842105,0.22857142857142856,0.14285714285714285,1e-13,7.586595569428187e-05,1e-13,5.67387338626659e-07,0.09349435071879478
"org.apache.avro.tool.DataFileReadTool.run(InputStream, PrintStream, PrintStream, List<String>)",9,112,8,30,25,3,4,16,1,1,0,5,0.09999999999999998,0.30662983425414364,0.42105263157894735,0.3,0.24489795918367346,0.05263157894736842,0.05714285714285714,0.38095238095238093,0.25,3.6126645568705655e-06,1e-13,5.429543910302957e-09,0.09195326703084292
org.apache.avro.io.BinaryDecoder.readInt(),2,21,6,10,30,7,10,5,0,809,490,2025356,0.8,0.055248618784530384,0.3157894736842105,0.1,0.29591836734693877,0.15789473684210525,0.14285714285714285,0.11904761904761904,1e-13,0.0029226456265082873,0.0031342949435507086,0.0027491884766129115,0.08993110515612222
org.apache.avro.ipc.Requestor.writeHandshake(Encoder),6,218,17,62,22,4,13,10,1,13,0,61,0.4,0.5994475138121547,0.8947368421052632,0.62,0.21428571428571427,0.07894736842105263,0.18571428571428572,0.23809523809523808,0.25,4.696463923931735e-05,1e-13,8.144315865454435e-08,0.08963525425306232
"org.apache.avro.specific.SpecificResponder.respond(Message, Object)",9,13,3,5,20,6,7,12,1,5,0,50,0.09999999999999998,0.03314917127071823,0.15789473684210525,0.05,0.19387755102040816,0.13157894736842105,0.1,0.2857142857142857,0.25,1.8063322784352828e-05,1e-13,6.651191290121123e-08,0.08889660564079405
org.apache.avro.Protocol.toJson(JsonGenerator),3,20,6,10,19,4,6,15,2,4,0,15,0.7,0.052486187845303865,0.3157894736842105,0.1,0.1836734693877551,0.07894736842105263,0.08571428571428572,0.35714285714285715,0.5,1.4450658227482262e-05,1e-13,1.9003403686060352e-08,0.08818545193964512
org.apache.avro.reflect.ReflectData.getProtocol(Class),5,77,10,27,14,3,8,17,1,18,0,10,0.5,0.20994475138121546,0.5263157894736842,0.27,0.1326530612244898,0.05263157894736842,0.11428571428571428,0.40476190476190477,0.25,6.502796202367018e-05,1e-13,1.2216473798181654e-08,0.08804561437970931
org.apache.avro.reflect.ReflectData.getClass(Schema),9,15,5,7,16,7,10,10,0,1,0,9,0.09999999999999998,0.03867403314917127,0.2631578947368421,0.07,0.15306122448979592,0.15789473684210525,0.14285714285714285,0.23809523809523808,1e-13,3.6126645568705655e-06,1e-13,1.0859087820605914e-08,0.08648861402279336
org.apache.avro.file.DeflateCodec.compress(ByteBuffer),9,3,1,2,19,3,5,16,0,13,1,268,0.09999999999999998,0.0055248618784530384,0.05263157894736842,0.02,0.1836734693877551,0.05263157894736842,0.07142857142857142,0.38095238095238093,1e-13,4.696463923931735e-05,6.396520292960629e-06,3.624220560127224e-07,0.08608614888959633
org.apache.avro.util.Utf8.Utf8(String),0,197,9,59,8,2,33,5,0,18,1,3465,1.0,0.5414364640883977,0.47368421052631576,0.59,0.07142857142857142,0.02631578947368421,0.4714285714285714,0.11904761904761904,1e-13,6.502796202367018e-05,6.396520292960629e-06,4.701985026322361e-06,0.08603583219872078
org.apache.avro.io.ResolvingDecoder.skipAction(),9,20,6,7,20,7,8,9,0,0,0,183,0.09999999999999998,0.052486187845303865,0.3157894736842105,0.07,0.19387755102040816,0.15789473684210525,0.11428571428571428,0.21428571428571427,1e-13,1e-13,1e-13,2.4704424791878455e-07,0.08504297009499331
"org.apache.avro.tool.GenAvroTool.run(InputStream, PrintStream, PrintStream, List<String>)",9,21,7,9,27,4,4,11,0,37,0,6,0.09999999999999998,0.055248618784530384,0.3684210526315789,0.09,0.2653061224489796,0.07894736842105263,0.05714285714285714,0.2619047619047619,1e-13,0.00013366858860421093,1e-13,6.786929887878697e-09,0.08291605676153316
org.apache.avro.io.BlockingBinaryEncoder.check(),0,44,4,25,15,2,31,2,1,20,11,30068,1.0,0.11878453038674033,0.21052631578947367,0.25,0.14285714285714285,0.02631578947368421,0.44285714285714284,0.047619047619047616,0.25,7.225329113741131e-05,7.036172322256693e-05,4.081252418776976e-05,0.08246821073009036
org.apache.avro.ipc.HttpTransceiver.readBuffers(InputStream),0,214,11,59,20,5,3,13,2,471,0,59,1.0,0.5883977900552486,0.5789473684210527,0.59,0.19387755102040816,0.10526315789473684,0.04285714285714286,0.30952380952380953,0.5,0.0017015650062860363,1e-13,7.872838669939288e-08,0.08163570845840915
"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int)",9,9,3,5,16,2,9,14,0,56,27,3355,0.09999999999999998,0.022099447513812154,0.15789473684210525,0.05,0.15306122448979592,0.02631578947368421,0.12857142857142856,0.3333333333333333,1e-13,0.00020230921518475165,0.000172706047909937,4.55267256878903e-06,0.0801654409506693
org.apache.avro.io.JsonDecoder.readIndex(),9,15,3,7,20,4,7,11,0,20,2,816,0.09999999999999998,0.03867403314917127,0.15789473684210525,0.07,0.19387755102040816,0.07894736842105263,0.1,0.2619047619047619,1e-13,7.225329113741131e-05,1.2793040585921259e-05,1.1062695717242275e-06,0.07934252603715651
org.apache.avro.file.DataFileReader.sync(long),9,10,3,4,24,6,7,7,2,291,13,49,0.09999999999999998,0.024861878453038673,0.15789473684210525,0.04,0.23469387755102042,0.13157894736842105,0.1,0.16666666666666666,0.5,0.0010512853860493345,8.315476380848819e-05,6.515452692363549e-08,0.07913269349376674
"org.apache.avro.io.BlockingBinaryEncoder.write(byte[], int, int)",2,7,4,3,22,5,13,5,1,0,0,70,0.8,0.016574585635359115,0.21052631578947367,0.03,0.21428571428571427,0.10526315789473684,0.18571428571428572,0.11904761904761904,0.25,1e-13,1e-13,9.365963245272602e-08,0.07803885124312337
org.apache.avro.file.DataFileStream.hasNextBlock(),3,49,10,17,19,6,8,8,0,693,227,996400,0.7,0.13259668508287292,0.5263157894736842,0.17,0.1836734693877551,0.13157894736842105,0.11428571428571428,0.19047619047619047,1e-13,0.002503576537911302,0.001452010106502063,0.001352498030670489,0.07783994005958253
org.apache.avro.reflect.ReflectData.getFields(Class),5,40,7,18,14,6,4,12,2,6,0,40,0.5,0.10773480662983426,0.3684210526315789,0.18,0.1326530612244898,0.13157894736842105,0.05714285714285714,0.2857142857142857,0.5,2.1675987341223392e-05,1e-13,5.293805312545383e-08,0.07588719068227862
