class,path,package,methods
PreflightContentStream,preflight\src\main\java\org\apache\pdfbox\preflight\content\PreflightContentStream.java,org.apache.pdfbox.preflight.content,"PreflightContentStream,validatePageContentStream,validateXObjContentStream,validatePatternContentStream,processOperator,unsupportedOperator,checkShowTextOperators,validateStringDefinition,validateStringArray,validateText"
ColorSpaceHelperFactory,preflight\src\main\java\org\apache\pdfbox\preflight\graphic\ColorSpaceHelperFactory.java,org.apache.pdfbox.preflight.graphic,getColorSpaceHelper
ContextHelper,preflight\src\main\java\org\apache\pdfbox\preflight\utils\ContextHelper.java,org.apache.pdfbox.preflight.utils,"ContextHelper,validateElement,callValidation,hasRecursion,validateElement"
ZapfDingbatsEncoding,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\font\encoding\ZapfDingbatsEncoding.java,org.apache.pdfbox.pdmodel.font.encoding,"ZapfDingbatsEncoding,getCOSObject,getEncodingName"
CSSeparation,debugger\src\main\java\org\apache\pdfbox\debugger\colorpane\CSSeparation.java,org.apache.pdfbox.debugger.colorpane,"CSSeparation,initUI,initValues,getPanel,stateChanged,actionPerformed,updateColorBar,setColorBarBorder,getFloatRepresentation,getIntRepresentation"
BadFieldValueException,xmpbox\src\main\java\org\apache\xmpbox\type\BadFieldValueException.java,org.apache.xmpbox.type,"BadFieldValueException,BadFieldValueException"
PDFunctionType4,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\PDFunctionType4.java,org.apache.pdfbox.pdmodel.common.function,"PDFunctionType4,getFunctionType,eval"
PDRange,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\PDRange.java,org.apache.pdfbox.pdmodel.common,"PDRange,PDRange,PDRange,getCOSObject,getCOSArray,getMin,setMin,getMax,setMax,toString"
ExecutionContext,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,org.apache.pdfbox.pdmodel.common.function.type4,"ExecutionContext,getStack,getOperators,popNumber,popInt,popReal"
InstructionSequence,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\InstructionSequence.java,org.apache.pdfbox.pdmodel.common.function.type4,"addName,addInteger,addReal,addBoolean,addProc,execute"
