method,Time,OwnTime,count
org.apache.ivy.core.report.DownloadReport_ESTest.test11(),0,0,1
org.apache.ivy.core.module.descriptor.AbstractArtifact_ESTest.test08(),64,0,1
javax.swing.event.EventListenerList.getListeners(Class),0,0,54
org.apache.ivy.plugins.repository.ssh.SshCache_ESTest.test2(),13,0,1
"org.apache.commons.httpclient.MultiThreadedHttpConnectionManager$HttpConnectionAdapter.print(String, String)",20,1,690
org.apache.ivy.plugins.namespace.MRIDRule_ESTest.test01(),0,0,1
org.apache.ivy.plugins.resolver.AbstractResolver_ESTest.test34(),0,0,1
org.apache.ivy.core.report.DownloadReport_ESTest.test09(),0,0,1
org.evosuite.runtime.mock.java.time.chrono.MockThaiBuddhistDate.<init>(),0,0,6
"org.apache.ivy.core.event.resolve.ResolveDependencyEvent.<init>(String, DependencyResolver, DependencyDescriptor, ModuleRevisionId)",188,13,623
org.apache.ivy.ant.IvyMakePom_ESTest.test29(),0,0,1
"org.apache.tools.ant.ProjectHelper.parsePropertyString(String, Vector, Vector)",44,3,5469
org.apache.ivy.plugins.repository.BasicResource_ESTest.test10(),0,0,1
org.apache.commons.vfs.impl.DefaultFileSystemManager.init(),29,0,41
"org.apache.ivy.core.deliver.DeliverEngine.deliver(ModuleRevisionId, String, String, DeliverOptions)",2011,1,36
"org.apache.ivy.core.settings.IvySettings.addLockStrategy(String, LockStrategy)",17,6,3654
org.apache.ivy.plugins.matcher.MapMatcher.getAttributes(),0,0,1
org.apache.ivy.util.XMLHelper_ESTest.test10(),5,0,1
org.apache.tools.ant.util.ClasspathUtils$Delegate.getContextProject(),0,0,22
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor_ESTest.test40(),64,0,1
org.apache.ivy.core.cache.ModuleDescriptorMemoryCache_ESTest.test05(),5,0,1
org.apache.ivy.ant.IvyExtractFromSources_ESTest.<init>(),0,0,25
org.apache.ivy.plugins.resolver.DualResolver.<init>(),0,0,192
"org.apache.tools.ant.AntClassLoader.log(String, int)",6,0,275
org.apache.ivy.ant.IvyMakePom_ESTest.test11(),6,0,1
org.apache.ivy.core.publish.PublishOptions_ESTest.test030(),0,0,1
org.apache.ivy.core.deliver.DeliverOptions_ESTest.test71(),0,0,1
"org.apache.ivy.plugins.resolver.DualResolver.beginPublishTransaction(ModuleRevisionId, boolean)",0,0,1
org.apache.ivy.plugins.repository.vfs.VfsRepository_ESTest.test07(),9,0,1
org.evosuite.runtime.mock.java.io.MockFile.getTotalSpace(),0,0,2
org.apache.ivy.util.filter.OrFilter_ESTest.test0(),0,0,1
java.lang.Throwable.initCause(Throwable),0,0,356
org.apache.ivy.ant.IvyAntSettings_ESTest.<init>(),0,0,39
org.apache.ivy.ant.IvyRepositoryReport_ESTest.test16(),0,0,1
org.apache.tools.ant.taskdefs.PumpStreamHandler.setProcessOutputStream(InputStream),1,0,1
org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test07(),0,0,1
org.apache.ivy.ant.IvyConfigureTest.testExposeAntProperties(),26,0,1
org.apache.ivy.ant.IvyInfoTest.<init>(),0,0,4
"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)",894,7,23965
org.apache.ivy.ant.IvyExtractFromSources_ESTest.test05(),0,0,1
"org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions)",7835,8,166
org.apache.ivy.ant.IvyRepositoryReport_ESTest.test04(),0,0,1
org.apache.ivy.core.resolve.ResolveEngine_ESTest.test25(),5,0,1
org.apache.ivy.ant.IvyDeliver_ESTest.test18(),0,0,1
org.apache.ivy.plugins.resolver.AbstractSshBasedResolver_ESTest.test05(),0,0,1
org.apache.ivy.ant.IvyListModules_ESTest.test23(),0,0,1
org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver_ESTest.test20(),0,0,1
org.apache.ivy.core.cache.ModuleDescriptorMemoryCache_ESTest.test11(),70,0,1
org.apache.ivy.core.module.descriptor.Configuration_ESTest.test08(),0,0,1
org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test27(),0,0,1
org.apache.ivy.core.settings.IvySettings.resolveFile(String),55,0,249
"org.apache.ivy.core.resolve.IvyNodeCallers$Caller.updateConfs(String, String[])",62,6,2157
org.apache.ivy.util.url.URLHandlerDispatcher_ESTest.test06(),7,0,1
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.transformInstance(DependencyDescriptor, Namespace)",128,0,11
java.lang.String.<init>(),0,0,4
org.apache.ivy.plugins.resolver.VsftpResolver_ESTest.test14(),0,0,1
org.apache.ivy.ant.IvyInstallTest.createCache(),6,0,11
org.apache.ivy.plugins.repository.file.FileRepository_ESTest.test34(),5,0,1
org.apache.ivy.ant.IvyFindRevision_ESTest.test14(),0,0,1
org.apache.ivy.core.report.ConfigurationResolveReport.getModuleRevisionIds(),42,2,234
org.apache.ivy.ant.IvyDeliver_ESTest.test22(),0,0,1
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, Map)",0,0,17
org.apache.ivy.core.report.ConfigurationResolveReport_ESTest.test09(),0,0,1
org.apache.ivy.ant.IvyInstall.<init>(),0,0,51
org.apache.ivy.ant.IvyFindRevision_ESTest.test06(),0,0,1
org.apache.ivy.plugins.resolver.VsftpResolver_ESTest.test06(),0,0,1
org.apache.tools.ant.util.JAXPUtils.getNamespaceXMLReader(),83,0,34
"org.apache.ivy.TestHelper.newArtifact(String, String, String, String, String, String)",4,0,28
org.apache.ivy.core.resolve.IvyNodeCallers_ESTest.test06(),0,0,1
org.apache.ivy.core.resolve.ResolveEngine_ESTest.test15(),94,0,1
org.apache.tools.ant.taskdefs.Ant.overrideProperties(),1,0,2
"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer)",13255,126,195252
"org.apache.ivy.util.Configurator.typeDef(String, String)",0,0,9
org.apache.tools.ant.Project.toBoolean(String),0,0,5
org.apache.ivy.plugins.resolver.IBiblioResolver_ESTest.test29(),0,0,1
org.apache.ivy.core.settings.IvySettings.getDefaultLatestStrategy(),4,1,16245
org.apache.ivy.util.Configurator.startCreateChild(String),4348,37,8718
org.apache.tools.ant.Target.performTasks(),3835,0,15
org.apache.ivy.plugins.resolver.SshResolver.setFileSeparator(String),0,0,4
org.apache.commons.httpclient.HttpConnection.flushRequestOutputStream(),27,0,205
java.io.ByteArrayInputStream.skip(long),0,0,3
"javax.swing.event.EventListenerList.remove(Class, EventListener)",1,1,268
org.apache.ivy.core.install.InstallOptions_ESTest.test07(),0,0,1
org.apache.ivy.plugins.repository.file.FileRepository_ESTest.test25(),0,0,1
org.apache.ivy.core.sort.ModuleDescriptorSorter_ESTest.test1(),0,0,1
org.apache.commons.httpclient.params.HttpMethodParams.<clinit>(),0,0,3
org.apache.ivy.plugins.matcher.MapMatcher_ESTest.test02(),0,0,1
java.util.Collections$UnmodifiableMap.hashCode(),56,56,12001
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor_ESTest.test06(),64,0,1
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater_ESTest.test19(),3,0,1
org.apache.ivy.plugins.parser.m2.DefaultPomDependencyMgt_ESTest.test08(),0,0,1
org.apache.ivy.core.publish.PublishOptions_ESTest.test059(),0,0,1
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater_ESTest.test21(),9,0,1
"org.apache.ivy.core.resolve.ResolveEngine.isDependenciesFetched(IvyNode, String)",27,1,843
org.apache.ivy.util.AbstractMessageLogger.rawinfo(String),31,2,1034
org.apache.ivy.core.module.id.ArtifactRevisionId_ESTest.test02(),0,0,1
org.apache.ivy.ant.IvyPublish_ESTest.test04(),0,0,1
org.apache.ivy.core.retrieve.RetrieveEngine_ESTest.test2(),71,0,1
org.apache.ivy.ant.IvyRepositoryReport_ESTest.test28(),0,0,1
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor_ESTest.test34(),88,0,1
org.apache.ivy.core.sort.SortEngine_ESTest.test00(),0,0,1
org.apache.ivy.core.module.status.StatusManager.addStatus(Status),0,0,5
