method,method,invocation counts
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",java.lang.reflect.Constructor.newInstance(Object[]),13
java.lang.reflect.Constructor.newInstance(Object[]),org.apache.commons.logging.impl.Jdk14Logger.<init>(String),112
org.apache.commons.logging.impl.Jdk14Logger.<init>(String),org.apache.commons.logging.impl.Jdk14Logger.getLogger(),112
org.apache.commons.logging.impl.Jdk14Logger.getLogger(),java.util.logging.Logger.getLogger(String),112
org.apache.commons.logging.impl.Jdk14Logger.getLogger(),java.lang.ClassLoader.loadClass(String),4
org.apache.commons.logging.impl.Jdk14Logger.getLogger(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",4
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)","java.lang.Class.getMethod(String, Class[])",12
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",org.apache.commons.logging.LogFactory.handleThrowable(Throwable),13
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",java.lang.Class.getConstructor(Class[]),5
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",org.apache.commons.logging.LogFactory.objectId(Object),39
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",java.lang.StringBuffer.append(String),195
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)","java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",5
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",java.lang.Class.getClassLoader(),13
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String, String, boolean)",org.apache.commons.logging.impl.LogFactoryImpl.logDiagnostic(String),39
