id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
195,org.apache.ivy.osgi.p2.P2ArtifactParser.ArtifactHandler.ArtifactHandler(),7,1,1,2,3
196,org.apache.ivy.core.module.descriptor.ModuleDescriptor.getResource(),338,15,79,0,0
197,"org.apache.ivy.core.settings.IvySettings.setDeprecatedVariable(String, String)",76,5,26,7,5
198,org.apache.ivy.osgi.repo.EditableRepoDescriptor.hashCode(),1,0,0,0,0
199,"org.apache.ivy.plugins.resolver.packager.PackagerResolver.findArtifactRef(Artifact, Date)",285,0,0,16,46
200,org.apache.ivy.core.report.ResolveReport.setResolveTime(long),631,15,98,0,0
201,"org.apache.ivy.util.Configurator.ObjectDescriptor.addCreateMethod(String, Method)",8,2,6,0,0
202,org.apache.ivy.core.module.descriptor.ModuleDescriptor.toIvyFile(File),195,15,49,0,0
203,org.apache.ivy.plugins.parser.m2.PomReader.getLicenses(),399,12,104,2,4
204,org.apache.ivy.osgi.core.ExportPackage.getVersion(),268,17,47,1,1
205,org.apache.ivy.Ivy.interrupt(),17,1,1,5,5
206,org.apache.ivy.core.module.id.ModuleRevisionId.toString(),1653,11,700,1,1
207,org.apache.ivy.ant.IvyPublish.setOverwrite(boolean),1,0,0,0,0
208,org.apache.ivy.ant.IvyPostResolveTask.setInline(boolean),1,0,0,0,0
209,org.apache.ivy.plugins.resolver.util.HasLatestStrategy.getLatestStrategy(),2,1,1,0,0
210,org.apache.ivy.plugins.report.XmlReportParser.getResolvedModule(),271,16,54,1,1
211,org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.addIvyPattern(String),6,4,2,0,0
212,"org.apache.ivy.osgi.core.BundleInfoAdapter.toModuleDescriptor(ModuleDescriptorParser, URI, BundleInfo, Manifest, ExecutionEnvironmentProfileProvider)",429,9,42,16,47
213,org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getAttribute(String),2,0,0,1,1
214,org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyFileInCache(ModuleRevisionId),202,15,49,3,6
215,org.apache.ivy.core.settings.IvySettings.getClassLoader(),12,5,5,0,0
216,org.apache.ivy.core.module.descriptor.InheritableItem.getSourceModule(),26,3,22,0,0
217,org.apache.ivy.core.resolve.IvyNodeEviction.EvictionData.getSelected(),481,15,93,0,0
218,org.apache.ivy.osgi.updatesite.xml.FeatureParser.RequiresHandler.RequiresHandler(),11,3,4,2,3
219,org.apache.ivy.core.report.ArtifactDownloadReport.equals(Object),1,0,0,0,0
220,"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.Parser(ModuleDescriptorParser, ParserSettings)",50,8,19,1,1
