method,Time,OwnTime,count
org.apache.pdfbox.pdmodel.graphics.xobject.CompositeImage_ESTest.test3(),0,0,1
"org.apache.pdfbox.util.operator.SetStrokingICCBasedColor.process(PDFOperator, List)",0,0,1
org.apache.pdfbox.pdmodel.interactive.action.PDActionFactory_ESTest.test0(),0,0,1
org.apache.tools.ant.types.EnumeratedAttribute.indexOfValue(String),0,0,3
org.apache.pdfbox.pdmodel.graphics.color.PDIndexed_ESTest.test34(),0,0,1
org.apache.pdfbox.ExportFDF.main(String[]),0,0,5
org.apache.lucene.index.IndexWriter.acquireRead(),0,0,2
org.apache.pdfbox.filter.ASCIIHexFilter_ESTest.test2(),0,0,1
org.apache.pdfbox.preflight.utils.FilterHelper_ESTest.test16(),0,0,1
org.apache.pdfbox.cos.COSUnread_ESTest.test07(),31,0,1
org.apache.xmpbox.type.LayerType_ESTest.test00(),1,0,1
org.apache.pdfbox.preflight.utils.FilterHelper_ESTest.test04(),0,0,1
org.apache.lucene.document.DateTools$Resolution.<init>(String),0,0,7
org.apache.jempbox.xmp.pdfa.XMPMetadataPDFA.<init>(),113,0,10
org.apache.xmpbox.schema.PhotoshopSchema_ESTest.test075(),0,0,1
org.apache.pdfbox.pdmodel.common.COSArrayList_ESTest.test047(),0,0,1
org.apache.pdfbox.cos.COSDictionary_ESTest.test010(),0,0,1
com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl.item(int),5,5,776
java.util.TreeMap$EntryIterator.next(),0,0,56
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test08(),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.getLastChild(),0,0,7
org.apache.pdfbox.pdmodel.common.PDPageLabels$LabelGenerator.<clinit>(),0,0,1
org.apache.pdfbox.preflight.parser.PreflightParser_ESTest.test01(),0,0,1
org.apache.pdfbox.pdmodel.common.function.PDFunctionType4.<init>(COSBase),7,0,8
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType5.getBitsPerComponent(),0,0,3
org.apache.pdfbox.pdmodel.interactive.measurement.PDRectlinearMeasureDictionary.getChangeXs(),0,0,4
org.apache.tools.ant.Project.getProject(Object),0,0,1
"org.apache.pdfbox.cos.COSDictionary.getBoolean(COSName, boolean)",2,0,174
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test24(),0,0,1
org.apache.pdfbox.util.LayerUtility_ESTest.test0(),0,0,1
"org.bouncycastle.asn1.ASN1InputStream.buildObject(int, int,",0,0,1
org.apache.pdfbox.preflight.action.SubmitAction.innerValid(),0,0,2
"org.apache.fontbox.cmap.CMap.lookup(int, int)",0,0,5
org.apache.pdfbox.pdmodel.graphics.color.PDColorState_ESTest.test00(),0,0,1
org.apache.pdfbox.pdmodel.common.COSArrayList.convertStringListToCOSNameCOSArray(List),0,0,16
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationWidget_ESTest.test11(),0,0,1
org.apache.pdfbox.preflight.annotation.FreeTextAnnotationValidator_ESTest.test2(),0,0,1
org.apache.xmpbox.type.VersionType_ESTest.test06(),1,0,1
"org.apache.fontbox.ttf.GlyfDescript.<init>(short, TTFDataStream)",0,0,528
org.apache.pdfbox.util.operator.SetCharSpacing_ESTest.test1(),0,0,1
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test16(),0,0,1
org.apache.pdfbox.ImportFDF_ESTest.test4(),0,0,1
org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),314,0,2
org.apache.fontbox.ttf.TTFDataStream.readUnsignedInt(),0,0,132
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.Revisions_ESTest.test00(),0,0,1
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_ESTest.test15(),0,0,1
org.apache.jempbox.xmp.XMPSchemaDublinCore.getDescription(),0,0,4
java.io.FilterOutputStream.write(byte[]),29,1,2240
org.apache.pdfbox.preflight.font.util.Type1_ESTest.test2(),3,0,1
org.apache.xmpbox.schema.XMPMediaManagementSchema_ESTest.test010(),1,0,1
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingResources_ESTest.test13(),0,0,1
org.apache.xmpbox.schema.XMPMediaManagementSchema.setManageToProperty(URIType),0,0,11
org.apache.pdfbox.preflight.ValidationResult_ESTest.test33(),0,0,1
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSigBuilder_ESTest.test00(),1,0,1
org.apache.jempbox.xmp.XMPSchemaIptc4xmpCore.setCiTelWork(String),0,0,2
org.apache.pdfbox.preflight.ValidationResult_ESTest.test01(),0,0,1
org.apache.pdfbox.pdfparser.BaseParser_ESTest.test24(),0,0,1
org.apache.pdfbox.util.TextNormalize_ESTest.<init>(),0,0,11
org.apache.pdfbox.pdmodel.graphics.pattern.PDShadingPatternResources_ESTest.test15(),0,0,1
org.apache.pdfbox.preflight.PreflightPath.isEmpty(),0,0,22
java.awt.FlowLayout.<init>(),0,0,65
org.apache.pdfbox.pdmodel.common.PDMemoryStream_ESTest.test23(),0,0,1
org.apache.pdfbox.preflight.PreflightDocument_ESTest.test10(),0,0,1
org.apache.pdfbox.pdmodel.fdf.FDFField_ESTest.test030(),0,0,1
"org.apache.pdfbox.filter.FlateFilter.decode(InputStream, OutputStream, COSDictionary, int)",2,0,4
org.apache.pdfbox.pdmodel.interactive.action.type.PDActionRemoteGoTo_ESTest.test22(),0,0,1
org.apache.pdfbox.pdmodel.common.COSArrayList_ESTest.test098(),0,0,1
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingResources_ESTest.test03(),0,0,1
org.apache.pdfbox.util.ICU4JImpl_ESTest.test4(),0,0,1
"org.apache.pdfbox.pdmodel.common.COSDictionaryMap.<init>(Map, COSDictionary)",0,0,52
"org.apache.pdfbox.pdmodel.PDDocument.print(PrinterJob, boolean)",82,0,3
org.apache.pdfbox.pdmodel.font.PDSimpleFont_ESTest.<init>(),0,0,32
org.apache.jempbox.xmp.XMPMetadata.addIptc4xmpCoreSchema(),0,0,18
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDPrintFieldAttributeObject.<init>(),0,0,17
org.apache.pdfbox.pdmodel.common.PDTextStream_ESTest.<init>(),0,0,16
org.apache.pdfbox.pdmodel.fdf.FDFField_ESTest.test046(),0,0,1
org.apache.pdfbox.pdmodel.interactive.measurement.PDRectlinearMeasureDictionary_ESTest.test21(),0,0,1
org.apache.xmpbox.schema.PDFAIdentificationSchema_ESTest.test10(),1,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine_ESTest.test06(),0,0,1
org.apache.pdfbox.preflight.ValidationResult_ESTest.test15(),0,0,1
org.apache.pdfbox.preflight.font.util.Type1Parser_ESTest.test06(),1,0,1
org.apache.pdfbox.pdfparser.PDFObjectStreamParser_ESTest.<init>(),0,0,7
org.apache.pdfbox.cos.COSDocument_ESTest.test48(),0,0,1
org.apache.commons.logging.LogFactory.directGetContextClassLoader(),7,0,113
org.apache.jempbox.xmp.XMPSchemaPhotoshop_ESTest.test62(),2,0,1
"org.apache.xmpbox.type.TypeMapping.instanciateDefinedType(String, String)",0,0,4
org.apache.pdfbox.pdmodel.graphics.pattern.PDShadingPatternResources_ESTest.test09(),0,0,1
org.apache.log4j.Hierarchy.updateParents(Logger),1,1,29
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLink_ESTest.test15(),0,0,1
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder_ESTest.test08(),0,0,1
java.util.Vector.elements(),0,0,71
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject_ESTest.test46(),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination.getRight(),0,0,4
org.apache.pdfbox.preflight.font.Type0FontValidator.processCMapAsStream(COSStream),3,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent.isTopAttached(),0,0,2
org.apache.pdfbox.examples.signature.CreateSignature.signPDF(File),1,0,2
org.apache.pdfbox.util.ImageParameters_ESTest.test12(),0,0,1
org.apache.pdfbox.pdmodel.graphics.PDGraphicsState_ESTest.test64(),0,0,1
org.apache.pdfbox.pdmodel.interactive.action.type.PDActionRemoteGoTo.setD(COSBase),0,0,3
org.apache.pdfbox.pdmodel.graphics.color.PDGamma.getG(),0,0,8
org.apache.jempbox.xmp.XMPMetadata.load(String),2,0,1
org.apache.pdfbox.pdmodel.PDDocument_ESTest.test09(),0,0,1
java.io.File.<init>(String),144,144,3723
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN_ESTest.test16(),0,0,1
org.apache.pdfbox.pdmodel.graphics.color.PDPattern_ESTest.test4(),0,0,1
"org.apache.pdfbox.preflight.action.NamedAction.<init>(ActionManagerFactory, COSDictionary, PreflightContext, String)",0,0,5
org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.setDate(String),0,0,2
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject_ESTest.test58(),0,0,1
org.apache.jempbox.xmp.ResourceRef.getDocumentID(),0,0,1
org.apache.pdfbox.pdmodel.interactive.action.type.PDActionGoTo_ESTest.test4(),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageXYZDestination_ESTest.test16(),0,0,1
org.apache.pdfbox.util.operator.NextLine.<init>(),0,0,31
org.apache.xmpbox.type.TypeMapping_ESTest.test03(),1,0,1
org.apache.pdfbox.io.PushBackInputStream_ESTest.test08(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDCheckbox.getOffValue(),0,0,1
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentProperties.hasGroup(String),0,0,1
org.apache.pdfbox.pdmodel.graphics.PDGraphicsState_ESTest.test72(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDField_ESTest.test07(),0,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setSymbolic(boolean),0,0,5
java.math.BigDecimal.<init>(String),10,10,3006
org.apache.pdfbox.pdmodel.PDDocumentCatalog_ESTest.test04(),0,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.<init>(COSDictionary),0,0,36
"org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject.commonXObjectCreation(COSBase, boolean)",6,0,16
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType4.getFunction(),0,0,2
org.apache.pdfbox.pdmodel.font.PDSimpleFont_ESTest.test31(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_ESTest.test02(),0,0,1
org.apache.pdfbox.cos.COSArray.growToSize(int),11,0,130
org.apache.pdfbox.ImportXFDF.<init>(),0,0,9
org.apache.pdfbox.filter.FilterManager.getFilter(COSName),0,0,14
org.apache.pdfbox.pdmodel.graphics.PDShading_ESTest.test11(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.setAttributes(Revisions),0,0,7
org.apache.pdfbox.pdmodel.font.PDFontDescriptorAFM.setStemV(float),0,0,2
org.apache.pdfbox.pdmodel.interactive.form.PDPushButton_ESTest.test2(),0,0,1
org.evosuite.runtime.vnet.DNS.resolve(String),1,0,1
org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent_ESTest.test04(),0,0,1
"org.apache.pdfbox.util.PDFStreamEngine.registerOperatorProcessor(String, OperatorProcessor)",2,0,1584
org.apache.pdfbox.pdmodel.fdf.FDFField.getAdditionalActions(),0,0,3
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode_ESTest.test29(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.Revisions_ESTest.test10(),0,0,1
