method,method,invocation counts
"org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes, Augmentations)","org.apache.xerces.impl.xs.XMLSchemaValidator.handleStartElement(QName, XMLAttributes, Augmentations)",1246
"org.apache.xerces.impl.xs.XMLSchemaValidator.handleStartElement(QName, XMLAttributes, Augmentations)","org.apache.xerces.impl.xs.XMLSchemaValidator.findSchemaGrammar(short, String, QName, QName, XMLAttributes)",2982
"org.apache.xerces.impl.xs.XMLSchemaValidator.findSchemaGrammar(short, String, QName, QName, XMLAttributes)","org.apache.xerces.impl.xs.XMLSchemaLoader.loadSchema(XSDDescription, XMLInputSource, Hashtable)",543
"org.apache.xerces.impl.xs.XMLSchemaLoader.loadSchema(XSDDescription, XMLInputSource, Hashtable)",org.apache.xerces.impl.xs.XMLSchemaLoader.processJAXPSchemaSource(Hashtable),499
org.apache.xerces.impl.xs.XMLSchemaLoader.processJAXPSchemaSource(Hashtable),"org.apache.xerces.impl.xs.XMLSchemaLoader.loadSchema(XSDDescription, XMLInputSource, Hashtable)",499
"org.apache.xerces.impl.xs.XMLSchemaLoader.loadSchema(XSDDescription, XMLInputSource, Hashtable)","org.apache.xerces.impl.xs.traversers.XSDHandler.parseSchema(XMLInputSource, XSDDescription, Hashtable)",1042
"org.apache.xerces.impl.xs.traversers.XSDHandler.parseSchema(XMLInputSource, XSDDescription, Hashtable)","org.apache.xerces.impl.xs.traversers.XSDHandler.getSchemaDocument(String, XMLInputSource, boolean, short, Element)",543
"org.apache.xerces.impl.xs.traversers.XSDHandler.getSchemaDocument(String, XMLInputSource, boolean, short, Element)",org.apache.xerces.impl.xs.opti.SchemaParsingConfig.parse(XMLInputSource),499
org.apache.xerces.impl.xs.opti.SchemaParsingConfig.parse(XMLInputSource),org.apache.xerces.impl.xs.opti.SchemaParsingConfig.parse(boolean),499
org.apache.xerces.impl.xs.opti.SchemaParsingConfig.parse(boolean),org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean),499
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean),org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(),97406
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(),org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),171131
org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanAttribute(XMLAttributesImpl),"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)",171131
"org.apache.xerces.impl.XMLScanner.scanAttributeValue(XMLString, XMLString, String, boolean, String)","org.apache.xerces.impl.XMLEntityScanner.scanLiteral(int, XMLString)",236309
